efeitos_fixos;efeitos_aleatorios;interacoes_intra_nivel;interacoes_entre_niveis;formula_str;start_time;end_time;training_time;time_unit;log_lik;aic;error;warning
age_std;(1 | zip_code);NA;NA;flg_churn ~ age_std + (1 | zip_code);2022-03-14T03:29:45Z;2022-03-14T03:29:48Z;2.3558988571167;secs;-2765.42101583157;5536.84203166314;NA;NA
number_of_dependents_std;(1 | zip_code);NA;NA;flg_churn ~ number_of_dependents_std + (1 | zip_code);2022-03-14T03:29:48Z;2022-03-14T03:29:51Z;2.83682417869568;secs;-2643.6040356948706;5293.208071389741;NA;NA
zip_code_population_std;(1 | zip_code);NA;NA;flg_churn ~ zip_code_population_std + (1 | zip_code);2022-03-14T03:29:51Z;2022-03-14T03:29:53Z;2.5513060092926;secs;-2792.002497617109;5590.004995234218;NA;NA
number_of_referrals_std;(1 | zip_code);NA;NA;flg_churn ~ number_of_referrals_std + (1 | zip_code);2022-03-14T03:29:53Z;2022-03-14T03:29:56Z;2.45607280731201;secs;-2519.310828399487;5044.621656798974;NA;NA
tenure_in_months_std;(1 | zip_code);NA;NA;flg_churn ~ tenure_in_months_std + (1 | zip_code);2022-03-14T03:29:56Z;2022-03-14T03:29:58Z;2.45703792572021;secs;-2479.286023371299;4964.572046742598;NA;NA
avg_monthly_gb_download_std;(1 | zip_code);NA;NA;flg_churn ~ avg_monthly_gb_download_std + (1 | zip_code);2022-03-14T03:29:58Z;2022-03-14T03:30:01Z;2.38006114959717;secs;-2784.8118022874105;5575.623604574821;NA;NA
monthly_charge_std;(1 | zip_code);NA;NA;flg_churn ~ monthly_charge_std + (1 | zip_code);2022-03-14T03:30:01Z;2022-03-14T03:30:03Z;2.19628500938416;secs;-2690.8522346401496;5387.704469280299;NA;NA
total_charges_std;(1 | zip_code);NA;NA;flg_churn ~ total_charges_std + (1 | zip_code);2022-03-14T03:30:03Z;2022-03-14T03:30:05Z;2.19325399398804;secs;-2696.8663374163543;5399.732674832709;NA;NA
total_long_distance_charges_std;(1 | zip_code);NA;NA;flg_churn ~ total_long_distance_charges_std + (1 | zip_code);2022-03-14T03:30:05Z;2022-03-14T03:30:08Z;2.48328304290771;secs;-2663.991920678389;5333.983841356778;NA;NA
total_revenue_std;(1 | zip_code);NA;NA;flg_churn ~ total_revenue_std + (1 | zip_code);2022-03-14T03:30:08Z;2022-03-14T03:30:10Z;2.52406907081604;secs;-2670.6945192165595;5347.389038433119;NA;NA
