name|label|concept
B00001_001|estimate, total|unweighted sample count of the population
B00002_001|estimate, total|unweighted sample housing units
B01001_001|estimate, total|sex by age
B01001_002|estimate, total, male|sex by age
B01001_003|estimate, total, male, under 5 years|sex by age
B01001_004|estimate, total, male, 5 to 9 years|sex by age
B01001_005|estimate, total, male, 10 to 14 years|sex by age
B01001_006|estimate, total, male, 15 to 17 years|sex by age
B01001_007|estimate, total, male, 18 and 19 years|sex by age
B01001_008|estimate, total, male, 20 years|sex by age
B01001_009|estimate, total, male, 21 years|sex by age
B01001_010|estimate, total, male, 22 to 24 years|sex by age
B01001_011|estimate, total, male, 25 to 29 years|sex by age
B01001_012|estimate, total, male, 30 to 34 years|sex by age
B01001_013|estimate, total, male, 35 to 39 years|sex by age
B01001_014|estimate, total, male, 40 to 44 years|sex by age
B01001_015|estimate, total, male, 45 to 49 years|sex by age
B01001_016|estimate, total, male, 50 to 54 years|sex by age
B01001_017|estimate, total, male, 55 to 59 years|sex by age
B01001_018|estimate, total, male, 60 and 61 years|sex by age
B01001_019|estimate, total, male, 62 to 64 years|sex by age
B01001_020|estimate, total, male, 65 and 66 years|sex by age
B01001_021|estimate, total, male, 67 to 69 years|sex by age
B01001_022|estimate, total, male, 70 to 74 years|sex by age
B01001_023|estimate, total, male, 75 to 79 years|sex by age
B01001_024|estimate, total, male, 80 to 84 years|sex by age
B01001_025|estimate, total, male, 85 years and over|sex by age
B01001_026|estimate, total, female|sex by age
B01001_027|estimate, total, female, under 5 years|sex by age
B01001_028|estimate, total, female, 5 to 9 years|sex by age
B01001_029|estimate, total, female, 10 to 14 years|sex by age
B01001_030|estimate, total, female, 15 to 17 years|sex by age
B01001_031|estimate, total, female, 18 and 19 years|sex by age
B01001_032|estimate, total, female, 20 years|sex by age
B01001_033|estimate, total, female, 21 years|sex by age
B01001_034|estimate, total, female, 22 to 24 years|sex by age
B01001_035|estimate, total, female, 25 to 29 years|sex by age
B01001_036|estimate, total, female, 30 to 34 years|sex by age
B01001_037|estimate, total, female, 35 to 39 years|sex by age
B01001_038|estimate, total, female, 40 to 44 years|sex by age
B01001_039|estimate, total, female, 45 to 49 years|sex by age
B01001_040|estimate, total, female, 50 to 54 years|sex by age
B01001_041|estimate, total, female, 55 to 59 years|sex by age
B01001_042|estimate, total, female, 60 and 61 years|sex by age
B01001_043|estimate, total, female, 62 to 64 years|sex by age
B01001_044|estimate, total, female, 65 and 66 years|sex by age
B01001_045|estimate, total, female, 67 to 69 years|sex by age
B01001_046|estimate, total, female, 70 to 74 years|sex by age
B01001_047|estimate, total, female, 75 to 79 years|sex by age
B01001_048|estimate, total, female, 80 to 84 years|sex by age
