flg_churn;regra
0.00;when satisfaction_score is 4 or 5
0.00;when satisfaction_score is 3 & tx_concentracao_cobranca_mes_q3 >= 0.19 & flg_online_security is 1 & county is Alameda County or Alpine County or Butte County or Calaveras County or Humboldt County or Imperial County or Kern County or Kings County or Lake County or Los Angeles County or Marin County or Mariposa County or Merced County or Modoc County or Mono County or Nevada County or Placer County or Riverside County or Sacramento County or San Joaquin County or San Luis Obispo County or San Mateo County or Santa Clara County or Santa Cruz County or Shasta County or Siskiyou County or Sonoma County or Stanislaus County or Tulare County or Tuolumne County or Ventura County & internet_type is DSL or Fiber Optic
0.00;when satisfaction_score is 3 & tx_concentracao_cobranca_mes_q3 >= 0.19 & flg_online_security is 1 & county is Colusa County or Contra Costa County or El Dorado County or Fresno County or Glenn County or Inyo County or Lassen County or Madera County or Monterey County or Orange County or San Bernardino County or San Diego County or San Francisco County or Santa Barbara County or Solano County or Tehama County or Yuba County
0.01;when satisfaction_score is 3 & tx_concentracao_cobranca_mes_q3 < 0.19 & flg_online_security is 1
0.04;when satisfaction_score is 3 & tx_concentracao_cobranca_mes_q3 >= 0.19 & county is Alpine County or Butte County or Humboldt County or Kern County or Kings County or Lake County or Los Angeles County or Marin County or Mariposa County or Merced County or Mono County or Riverside County or Sacramento County or San Joaquin County or San Luis Obispo County or San Mateo County or Santa Clara County or Santa Cruz County or Shasta County or Sonoma County or Stanislaus County or Tulare County or Tuolumne County or Ventura County & internet_type is Cable or None
0.05;when satisfaction_score is 3 & tx_concentracao_cobranca_mes_q3 < 0.19 & flg_online_security is 0 & monthly_charge >= 74 & number_of_referrals >= 3
0.07;when satisfaction_score is 3 & tx_concentracao_cobranca_mes_q3 < 0.19 & flg_online_security is 0 & monthly_charge < 74
0.10;when satisfaction_score is 3 & tx_concentracao_cobranca_mes_q3 < 0.19 & flg_online_security is 0 & county is Imperial County or Inyo County or Lake County or Lassen County or Madera County or Mariposa County or Mendocino County or Monterey County or Nevada County or Riverside County or San Mateo County or Santa Barbara County or Shasta County or Solano County or Sonoma County or Stanislaus County or Sutter County or Tehama County or Trinity County or Tulare County or Ventura County & monthly_charge >= 74 & number_of_referrals < 3 & contract is Month-to-Month & age < 65
0.15;when satisfaction_score is 3 & tx_concentracao_cobranca_mes_q3 < 0.19 & flg_online_security is 0 & county is Alameda County or Butte County or Calaveras County or Contra Costa County or Fresno County or Imperial County or Inyo County or Kern County or Lake County or Lassen County or Los Angeles County or Madera County or Marin County or Mariposa County or Mendocino County or Merced County or Mono County or Monterey County or Nevada County or Orange County or Riverside County or San Bernardino County or San Francisco County or San Luis Obispo County or San Mateo County or Santa Barbara County or Santa Clara County or Shasta County or Siskiyou County or Solano County or Sonoma County or Stanislaus County or Sutter County or Tehama County or Trinity County or Tulare County or Ventura County or Yolo County & monthly_charge >= 74 & number_of_referrals < 3 & contract is One Year or Two Year
0.18;when satisfaction_score is 3 & tx_concentracao_cobranca_mes_q3 >= 0.19 & flg_online_security is 0 & county is Humboldt County or Imperial County or Merced County or Modoc County or Nevada County or San Luis Obispo County or San Mateo County or Santa Cruz County or Siskiyou County or Tuolumne County & internet_type is DSL or Fiber Optic
0.21;when satisfaction_score is 3 & tx_concentracao_cobranca_mes_q3 >= 0.19 & flg_online_security is 0 & county is Alameda County or Butte County or Kern County or Los Angeles County or Marin County or Mariposa County or Placer County or Riverside County or Sacramento County or Santa Clara County or Shasta County or Sonoma County or Stanislaus County or Tulare County or Ventura County & internet_type is DSL or Fiber Optic & flg_streaming_tv is 1
0.28;when satisfaction_score is 3 & tx_concentracao_cobranca_mes_q3 < 0.19 & flg_online_security is 0 & county is Alameda County or Contra Costa County or Fresno County or Kern County or Los Angeles County or Marin County or Merced County or Orange County or San Bernardino County or San Francisco County or Santa Clara County or Siskiyou County & monthly_charge >= 74 & number_of_referrals < 3 & contract is Month-to-Month & age < 65 & flg_premium_tech_support is 1
0.29;when satisfaction_score is 3 & tx_concentracao_cobranca_mes_q3 < 0.19 & flg_online_security is 0 & county is Alameda County or Contra Costa County or Fresno County or Kern County or Los Angeles County or Marin County or Merced County or Orange County or San Bernardino County or San Francisco County or Santa Clara County or Siskiyou County & monthly_charge is 74 to 91 & number_of_referrals < 3 & contract is Month-to-Month & age < 65 & flg_premium_tech_support is 0 & cltv >= 4245
0.33;when satisfaction_score is 3 & tx_concentracao_cobranca_mes_q3 < 0.19 & flg_online_security is 0 & county is Colusa County or El Dorado County or Humboldt County or Napa County or Placer County or Sacramento County or San Diego County or San Joaquin County or Santa Cruz County or Tuolumne County & monthly_charge >= 74 & number_of_referrals < 3 & flg_paperless_billing is 0
0.67;when satisfaction_score is 3 & tx_concentracao_cobranca_mes_q3 < 0.19 & flg_online_security is 0 & county is Alameda County or Contra Costa County or Fresno County or Kern County or Los Angeles County or Marin County or Merced County or Orange County or San Bernardino County or San Francisco County or Santa Clara County or Siskiyou County & monthly_charge >= 91 & number_of_referrals < 3 & contract is Month-to-Month & age < 65 & flg_premium_tech_support is 0 & cltv >= 4245
